Catalog#,Artist,Title,Label,Format,Genre,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
MMXXIII,Abhasa,१,Engraven,Cass,,,2023,28224904,Uncategorized,10/11/2023,,,
NNF 387,Acid Twilight,Mustang Zodiac,Not Not Fun Records,"Cass, Album",,,2022,23101979,Uncategorized,10/11/2023,,,
HELLS LP 095,Acid Witch,Witchtanic Hellucinations,Hells Headbangers,"LP, Album, Ltd, RE, RP, Can","['Death Metal', 'Doom Metal', 'Psychedelic Rock']",,2018,12735208,Uncategorized,7/5/2020,,,
HELLSPEP036,Acid Witch / NunSlaughter,Spooky,Hells Headbangers,"7"", EP, Pic, RE",,,2019,13855327,Uncategorized,7/9/2020,,,
KR-18,Across Tundras,Dark Songs Of The Prairie,Kreation Records,"LP, Ltd, Sil","['Acoustic', 'Doom Metal', 'Country Rock']",,2008,1412631,Uncategorized,6/10/2021,,,
ZEN271,Actress,Karma & Desire,Ninja Tune,2xLP,['IDM'],,2020,16101542,Uncategorized,11/22/2020,,,
TPO-023,Adrasteia / In Nacht Und Eis,Eisblut,The Phantom Order,"CDr, Ltd",,,2023,28476079,Uncategorized,10/11/2023,,,
none,Afsky,Ofte Jeg Drømmer Mig Død,Vendetta Records (3),"LP, Album, Ltd, RP, Cle",,,2020,15551465,Uncategorized,9/6/2020,,,
FP125,AIAA 7,Sueños Eternos,Fiadh Productions,"Cass, Album, Comp, Ltd","['Black Metal', 'Blackgaze']",,2023,27295887,Uncategorized,8/19/2023,,,
4AD0102LP,Aldous Harding,Designer,4AD,"LP, Album","['Art Rock', 'Folk', 'Alternative Rock']",,2019,13483456,Uncategorized,7/5/2020,,,
"RR7480, RR45221",Amenra,De Doorn,"Relapse Records, Relapse Records","2xLP, Album, Ltd, Gre","['Doom Metal', 'Post-Metal', 'Sludge Metal']",,2021,19271368,Uncategorized,6/28/2021,,,
RAR142,Ammothea,Terminal Burrow,Realm & Ritual,"Cass, Ltd, Num",,,2022,23927387,Uncategorized,10/11/2023,,,
"MYSTIC TIMBRE 046, MT046, MYSTIC TIMBRE 048",Amn (4),Lands Of Intrigue,"Mystic Timbre, Mystic Timbre, Mystic Timbre","Cass, Ltd, M/Print",,,2020,15663123,Uncategorized,10/11/2023,,,
PROS104391,An Autumn For Crippled Children,"All Fell Silent, Everything Went Quiet",Prosthetic Records,"LP, Ltd, Whi","['Atmospheric Black Metal', 'Post-Metal']",,2020,15331633,Uncategorized,8/8/2020,,,
NNF411,Andra Ljos,Megalithic Statues Of Vishakapar,Not Not Fun Records,"Cass, Album",,,2023,27784422,Uncategorized,10/11/2023,,,
DNO 169,Animal Collective,Water Curses,Domino,"CD, EP",['Experimental'],,2008,3631225,Uncategorized,4/17/2021,,,
ASGSR 014,Anteomedroma,Anteomedroma I,Grime Stone Records,"Cass, Album, Ltd, Num",,,2021,21620947,Uncategorized,10/11/2023,,,
SHG22,Antique Scream,The Chronicles Of Dirty Dick,Saw Her Ghost Records,"7"", Ltd","['Hard Rock', 'Stoner Rock']",,2011,4710930,Uncategorized,6/22/2020,,,
AR LP105,Aosoth,IV Arrow In Heart,Agonia Records,"2xLP, Album, Ltd","['Black Metal', 'Noise']",,2013,4491372,Uncategorized,7/5/2020,,,
none,Arcane Earth Reboot,Cirrocumulus,Yuggoth Records,"Cass, Album, Ltd",,,2023,28226179,Uncategorized,10/11/2023,,,
YUG030,Arcanist,Poseidonis,Yuggoth Records,Cass,,,2021,24405602,Uncategorized,10/11/2023,,,
YUG034,Arcanist,Hyperborea,Yuggoth Records,LP,,,2022,24293543,Uncategorized,10/11/2023,,,
MRG425,Archers Of Loaf,Vee Vee,Merge Records,"LP, Album, Ltd, RE, RM, Gre",['Alternative Rock'],,2012,3427266,Uncategorized,7/5/2020,,,
ASIP037,ASC,Original Soundtrack,A Strangely Isolated Place,"CD, Album, Ltd",,,2022,24554213,Uncategorized,10/11/2023,,,
Vendetta 63,Ash Borer,2009 Demo,Vendetta Records (3),LP,,,2012,3545498,Uncategorized,10/11/2023,,,
SPIN135,Atramentus,Stygian,20 Buck Spin,"LP, Album, Ltd, Mil",['Funeral Doom Metal'],,2020,15767457,Uncategorized,12/10/2020,,,
ASR279,Autumn's Rapture,The Countenance Of The Night,ASRAR,"12"", S/Sided, EP",['Black Metal'],,2022,24958474,Uncategorized,8/19/2023,,,
TOWER0006,Baazlvaat,The Higher Power,Labyrinth Tower,"Cass, Album",,,2021,21846487,Uncategorized,10/11/2023,,,
none,Balinor,The Land from Which Man Has Been Purged,The Phantom Order,"CD, Album","['Black Metal', 'Dungeon Synth']",,2022,24663209,Uncategorized,8/19/2023,,,
none ,Baphomorph,"I, II, III",Grime Stone Records,"Cass, Comp",,,2022,23413859,Uncategorized,10/11/2023,,,
TLR-130,Bardo Pond,Adrop/Circuit VIII,Three Lobed Recordings,"2xLP, Comp, RM, Sil",['Psychedelic Rock'],,2020,14691829,Uncategorized,7/5/2020,,,
thrill253,Barn Owl,Ancestral Star,Thrill Jockey,"LP, Album",['Drone'],,2010,2512279,Uncategorized,8/3/2020,,,
"TOWER0011, BDC038",Bat Magic,Feast Of Blood,"Labyrinth Tower, Babylon Doom Cult Records","Cass, EP, Ltd, RE",,,2022,22426726,Uncategorized,10/11/2023,,,
none,Bâtard,Brise-Lames,Not On Label,Cass,,,2021,19527991,Uncategorized,10/11/2023,,,
PAN106,Beatrice Dillon,Workaround,Pan (3),"LP, Album","['Abstract', 'Dubstep', 'Experimental', 'Minimal Techno', 'Techno']",,2020,14760208,Uncategorized,6/3/2021,,,
PFL244LP,Bell Witch / Aerial Ruin,Stygian Bough Volume I,Profound Lore Records,"2xLP, Album",,,2020,15514240,Uncategorized,3/5/2021,,,
OLE-296-8,Belle & Sebastian,If You're Feeling Sinister,Matador,"LP, Album, RE, 180",['Indie Rock'],,2014,6158352,Uncategorized,7/5/2020,,,
NSP 183,Belore,Journey Through Mountains And Valleys,Northern Silence Productions,"Cass, Album, Ltd, Num",['Atmospheric Black Metal'],,2021,18004795,Uncategorized,8/2/2021,,,
"4AD0129LPXE, 4AD0129LP",Big Thief,U.F.O.F.,"4AD, 4AD","LP, Album, Ltd, Ora","['Indie Rock', 'Folk Rock', 'Experimental']",,2019,13563322,Uncategorized,7/5/2020,,,
SBR-234,Black Marble,Bigger Than Life,Sacred Bones Records,"LP, Album","['Synth-pop', 'Coldwave']",,2019,14293235,Uncategorized,7/5/2020,,,
ELD-025,Black September (2) / Thou (2),Thrive & Decay,Gilead Media,"7"", EP, RE, Red",,,2009,2030462,Uncategorized,7/13/2020,,,
FR117,Black Wing,No Moon,Flenser Records,"LP + LP, S/Sided + Album, Ltd, Aqu",['Experimental'],,2020,16366020,Uncategorized,12/10/2020,,,
SBR-267,Blanck Mass,In Ferneaux,Sacred Bones Records,"LP, Album, Mag","['Experimental', 'Noise', 'Techno', 'Punk', 'Ambient', 'Field Recording']",,2021,17539465,Uncategorized,3/22/2021,,,
SBR-3023,Blanck Mass,Blanck Mass,Sacred Bones Records,"2xLP, Album, Ltd, RE, Cle","['Abstract', 'Modern Classical', 'Experimental', 'Ambient']",,2020,15517682,Uncategorized,7/11/2020,,,
Tower 0003,Bloodbells Chime,Forlorn Seas (Demo '21),Labyrinth Tower,Cass,,,2021,21148975,Uncategorized,10/11/2023,,,
ASGSR 007,Bloody Keep,Cup Of Blood In The Top of the Tower,A.S.GSR,"Cass, S/Sided, EP, Ltd, Num",,,2021,19916353,Uncategorized,10/11/2023,,,
"ASGSR-016, none",Bloody Keep,Bloody Horror,"A.S.GSR, Grime Stone Records",Cass,,,2021,21064909,Uncategorized,10/11/2023,,,
none,Bloody Keep,Bloody Keep,Grime Stone Records,"CDr, EP, Ltd",,,2023,26352458,Uncategorized,10/11/2023,,,
none,Bloody Keep,Wampyric Countess,Grime Stone Records,Cass,,,2022,25429897,Uncategorized,10/11/2023,,,
SPIN034,Bloody Panda,Summon,20 Buck Spin,"2xLP, Album, Ltd, Gat + DVD-V","['Doom Metal', 'Experimental']",,2010,2373573,Uncategorized,7/5/2020,,,
SC163,Bobb Trimble,Harvest Of Dreams,Secretly Canadian,"LP, Album, RE","['Folk Rock', 'Psychedelic Rock']",,2007,1242694,Uncategorized,7/5/2020,,,
ORD-45,Boduf Songs,Abyss Versions,Orindal Records,"LP, Album, Blu","['Indie Rock', 'Post Rock']",,2019,14232637,Uncategorized,7/5/2020,,,
