,release_id,img_url,paid
18,4491372,https://i.discogs.com/9chVP-Ud9tHRHaKT2Af2vB1uWTvH6eRTc_Bvz7us6_M/rs:fit/g:sm/q:90/h:337/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTQ0OTEz/NzItMTQzOTM4Njc4/NC0xNTY1LmpwZWc.jpeg,
19,28226179,https://i.discogs.com/7YDdTVbH-y9NW81SQ8Wfk2zKdtZQVum_SmYKAazwunU/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI4MjI2/MTc5LTE2OTQzNzMx/OTEtMTY5Mi5qcGVn.jpeg,
20,24405602,,
21,24293543,https://i.discogs.com/uN8BIjGBYbjVfHTeBZ2SKKQ0F2ZwdZyXWAUjJMLjo5Q/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0Mjkz/NTQzLTE2NjY2NjM4/NjAtNTE1NS5qcGVn.jpeg,
22,3427266,https://i.discogs.com/RRnnhosaElkMFmvnc2KEOhS8XYbCYZAr146LZ5URtiw/rs:fit/g:sm/q:90/h:597/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM0Mjcy/NjYtMTY3ODY4OTA3/My03MDEzLmpwZWc.jpeg,
23,24554213,https://i.discogs.com/2Fi4P2-6O5tJc8fNUnkltdymfva6cls7ugLXqqcj3UI/rs:fit/g:sm/q:90/h:530/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0NTU0/MjEzLTE2NjM1MTA0/ODMtNjg0Mi5qcGVn.jpeg,
24,3545498,https://i.discogs.com/kiYIg9wYYQF0YhGxAuZFVu9ZVMsoQJO3skF-XirNfKI/rs:fit/g:sm/q:90/h:300/w:300/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTM1NDU0/OTgtMTMzNDczOTYy/MC5qcGVn.jpeg,
25,15767457,https://i.discogs.com/UCKdQEixCYJp-tAEYi1ODA9cbaq2nBoLj9xkduUlpDY/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTE1NzY3/NDU3LTE1OTc0MjMx/OTItMzA5NC5qcGVn.jpeg,18.84
26,24958474,https://i.discogs.com/YXxSpgewygUnYaBnYqS-FHQI95pFXPZvsIzlDbTQjxg/rs:fit/g:sm/q:90/h:600/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTI0OTU4/NDc0LTE2NjY4MzIw/NTctMzExNC5qcGVn.jpeg,
27,21846487,https://i.discogs.com/gAmEtJjnN3fPU6YpVBP5fl59chVi7VcNalo8HHJBYV8/rs:fit/g:sm/q:90/h:909/w:600/czM6Ly9kaXNjb2dz/LWRhdGFiYXNlLWlt/YWdlcy9SLTIxODQ2/NDg3LTE2NDI4NzQ2/NDgtMTE3OS5wbmc.jpeg,
